route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-40,78.6,T1,v1.4,true,2.4,5.4,0.0,7.5,2.1,0.5,10.0,10.0,7.0,6.3,4.4,4.6,7.5,3.6,1.0,6.2
I-405,58.3,T2,v1.4,true,8.2,0.0,10.0,0.0,0.0,7.7,7.1,10.0,5.0,3.3,0.0,0.0,0.0,0.0,5.3,1.6
I-41,22.8,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,2.1,5.4,1.3,5.0,6.6,0.1,2.2,0.0,0.0,0.0,0.3
I-410,36.2,T3,v1.4,true,6.0,0.0,8.4,0.0,0.0,4.2,0.0,4.4,5.0,2.5,0.1,3.8,0.0,0.0,1.0,0.9
I-43,21.8,T4,v1.4,true,0.0,0.0,0.0,0.0,4.0,1.1,3.6,1.2,5.0,2.4,0.0,3.4,0.0,0.0,0.0,1.3
I-430,33.6,T3,v1.4,true,6.6,0.0,4.4,0.0,0.0,0.0,0.8,4.2,5.0,0.8,0.3,5.8,0.0,0.0,4.0,1.6
I-435,30.0,T3,v1.4,true,6.0,0.0,2.0,0.0,0.0,0.2,9.7,0.0,5.0,2.2,0.2,2.6,0.0,0.0,1.0,1.2
I-44,56.1,T2,v1.4,true,2.0,0.6,0.0,0.0,6.0,6.0,10.0,2.1,7.0,5.2,4.5,4.0,5.0,0.0,1.0,2.8
I-440,32.3,T3,v1.4,true,5.2,0.0,0.2,0.0,0.0,3.9,1.8,4.4,5.0,0.7,0.1,5.7,0.0,0.0,4.0,1.5
I-45,65.5,T2,v1.4,true,5.0,0.6,2.9,0.0,1.4,5.9,10.0,10.0,5.0,7.6,2.0,2.4,0.0,10.0,1.0,1.8
I-459,33.5,T3,v1.4,true,6.5,0.0,3.7,0.0,0.0,3.9,0.8,2.7,5.0,1.2,0.1,4.5,0.0,0.0,4.0,1.1
I-464,44.3,T3,v1.4,true,5.2,0.0,0.2,0.0,0.0,0.0,8.9,10.0,5.0,1.7,0.0,2.7,0.0,10.0,0.0,0.7
I-465,26.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,8.9,4.9,5.0,2.6,0.1,3.6,0.0,0.0,1.0,0.8
I-469,23.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,5.6,0.8,4.1,5.0,0.8,1.7,4.6,0.0,0.0,0.0,0.4
I-470,40.9,T3,v1.4,true,1.3,0.0,0.0,0.0,5.7,3.2,6.6,7.8,5.0,5.0,0.3,3.6,0.0,0.0,1.0,1.4
I-471,28.7,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,3.8,1.8,10.0,5.0,2.9,0.4,3.5,0.0,0.0,0.0,1.4
I-474,24.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0.2,5.0,0.5,2.3,4.3,0.0,0.0,0.0,6.1
I-475,33.7,T3,v1.4,true,5.3,0.0,0.4,0.0,0.0,2.1,3.6,7.4,5.0,2.5,0.7,4.3,0.0,0.0,0.0,2.2
I-476,33.3,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,2.0,5.6,10.0,5.0,6.5,0.0,1.8,0.0,0.0,1.0,1.5
I-478,28.4,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,3.6,10.0,5.0,8.2,0.0,0.4,0.0,0.0,1.0,0.2
I-480,44.3,T3,v1.4,true,7.5,0.0,2.6,0.0,0.0,4.4,3.6,5.8,5.0,5.1,4.0,4.2,0.0,0.0,0.0,2.2
I-480N,20.3,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,5.0,3.6,0.0,4.7,0.0,0.0,0.0,1.2
I-481,20.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0,5.0,0.9,0.0,4.2,0.0,0.0,0.0,3.2
I-485,14.5,T4,v1.4,true,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.8,5.0,3.1,0.0,3.4,0.0,0.0,1.0,0.0
I-49,56.5,T2,v1.4,true,1.8,0.5,0.0,0.0,1.2,4.3,10.0,7.3,6.5,3.9,5.3,4.3,7.5,0.0,1.5,2.4
I-490,31.9,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.7,5.9,7.6,5.0,5.3,0.0,4.4,0.0,0.0,0.0,2.1
I-494,20.7,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,3.8,0.1,0.4,0.0,0.0,1.0,0.5
I-495,61.2,T2,v1.4,true,10.0,0.2,5.4,0.0,0.0,0.0,6.4,10.0,5.0,9.3,4.0,0.0,0.0,0.0,6.0,5.0
I-496,25.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.6,1.8,6.1,5.0,1.9,0.0,3.9,0.0,0.0,0.0,4.8
I-5,90.7,T1,v1.4,true,4.0,3.5,0.8,8.5,5.7,7.2,10.0,10.0,7.0,10.0,4.0,0.3,7.5,3.4,3.3,5.5
I-505,21.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,2.5,3.6,0.0,5.0,4.7,0.0,0.0,0.0,0.0,4.0,2.1
I-510,29.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.6,3.6,10.0,5.0,1.3,0.0,5.2,0.0,0.0,1.0,1.4
I-515,34.4,T3,v1.4,true,9.4,0.0,10.0,0.0,0.0,0.5,1.8,1.5,5.0,2.1,0.0,4.0,0.0,0.0,0.0,0.2
I-516,33.8,T3,v1.4,true,4.4,0.0,1.5,0.0,0.0,0.0,5.1,10.0,5.0,0.5,0.3,4.1,0.0,0.0,1.0,1.8
