GEOID,NAME,STATE,LAT,LON,NEAREST_MI,POPULATION,LAND_SQMI,GAP_CLASS,ARTIFACT_REASON
19151,Pocahontas County,IA,42.7340,-94.6783,72.0,7061,577,candidate_access_gap,county_centroid_beyond_threshold
41023,Grant County,OR,44.4963,-119.0141,72.0,7237,4528,candidate_access_gap,county_centroid_beyond_threshold
21009,Barren County,KY,36.9628,-85.9321,71.5,44511,487,candidate_access_gap,county_centroid_beyond_threshold
05135,Sharp County,AR,36.1734,-91.4711,71.4,17422,605,candidate_access_gap,county_centroid_beyond_threshold
55085,Oneida County,WI,45.7162,-89.5345,71.4,37799,1114,candidate_access_gap,county_centroid_beyond_threshold
38051,McIntosh County,ND,46.1087,-99.4165,71.4,2529,975,candidate_access_gap,county_centroid_beyond_threshold
46125,Turner County,SD,43.3087,-97.1502,71.2,8687,617,candidate_access_gap,county_centroid_beyond_threshold
31165,Sioux County,NE,42.4707,-103.7322,71.1,1162,2067,candidate_access_gap,county_centroid_beyond_threshold
56037,Sweetwater County,WY,41.6603,-108.8757,71.0,42079,10427,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
21087,Green County,KY,37.2781,-85.5379,71.0,11198,286,candidate_access_gap,county_centroid_beyond_threshold
30011,Carter County,MT,45.5168,-104.5153,71.0,1332,3340,candidate_access_gap,county_centroid_beyond_threshold
20125,Montgomery County,KS,37.1895,-95.7424,70.9,31448,644,candidate_access_gap,county_centroid_beyond_threshold
27063,Jackson County,MN,43.6711,-95.1497,70.8,9990,703,candidate_access_gap,county_centroid_beyond_threshold
05041,Desha County,AR,33.8288,-91.2441,70.7,11285,741,candidate_access_gap,county_centroid_beyond_threshold
23023,Sagadahoc County,ME,43.9168,-69.8442,70.5,36868,254,candidate_access_gap,county_centroid_beyond_threshold
56023,Lincoln County,WY,42.2300,-110.6830,70.4,19794,4075,candidate_access_gap,county_centroid_beyond_threshold
28083,Leflore County,MS,33.5498,-90.2949,70.4,27920,594,candidate_access_gap,county_centroid_beyond_threshold
40045,Ellis County,OK,36.2243,-99.7501,70.3,3755,1231,candidate_access_gap,county_centroid_beyond_threshold
36117,Wayne County,NY,43.2181,-77.0494,70.3,91324,604,candidate_access_gap,county_centroid_beyond_threshold
29213,Taney County,MO,36.6498,-93.0428,70.2,56202,632,candidate_access_gap,county_centroid_beyond_threshold
23001,Androscoggin County,ME,44.1677,-70.2074,70.2,111532,468,candidate_access_gap,county_centroid_beyond_threshold
24047,Worcester County,MD,38.2221,-75.3099,69.9,52827,468,candidate_access_gap,county_centroid_beyond_threshold
29059,Dallas County,MO,37.6836,-93.0338,69.7,17158,541,candidate_access_gap,county_centroid_beyond_threshold
05017,Chicot County,AR,33.2671,-91.2972,69.7,10234,637,candidate_access_gap,county_centroid_beyond_threshold
20203,Wichita County,KS,38.4819,-101.3474,69.7,2131,719,candidate_access_gap,county_centroid_beyond_threshold
41031,Jefferson County,OR,44.6452,-121.1786,69.6,24659,1782,candidate_access_gap,county_centroid_beyond_threshold
01099,Monroe County,AL,31.5804,-87.3833,69.6,19816,1026,candidate_access_gap,county_centroid_beyond_threshold
48469,Victoria County,TX,28.7964,-96.9712,69.4,91209,882,candidate_access_gap,county_centroid_beyond_threshold
05011,Bradley County,AR,33.4665,-92.1692,69.4,10461,649,candidate_access_gap,county_centroid_beyond_threshold
21171,Monroe County,KY,36.7141,-85.7135,69.4,11331,329,candidate_access_gap,county_centroid_beyond_threshold
20047,Edwards County,KS,37.8836,-99.3047,69.2,2849,622,candidate_access_gap,county_centroid_beyond_threshold
28157,Wilkinson County,MS,31.1611,-91.3246,69.2,8531,678,candidate_access_gap,county_centroid_beyond_threshold
49047,Uintah County,UT,40.1259,-109.5177,69.0,35951,4483,candidate_access_gap,county_centroid_beyond_threshold
55003,Ashland County,WI,46.5444,-90.6797,68.9,16041,1045,candidate_access_gap,county_centroid_beyond_threshold
08085,Montrose County,CO,38.4075,-108.2663,68.8,42823,2241,candidate_access_gap,county_centroid_beyond_threshold
31081,Hamilton County,NE,40.8728,-98.0223,68.8,9400,542,candidate_access_gap,county_centroid_beyond_threshold
49027,Millard County,UT,38.9567,-113.1331,68.7,13027,6785,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
01131,Wilcox County,AL,31.9901,-87.3049,68.6,10441,888,candidate_access_gap,county_centroid_beyond_threshold
05129,Searcy County,AR,35.8964,-92.6959,68.5,7880,666,candidate_access_gap,county_centroid_beyond_threshold
20097,Kiowa County,KS,37.5612,-99.2865,68.4,2445,723,candidate_access_gap,county_centroid_beyond_threshold
18007,Benton County,IN,40.6009,-87.3148,68.3,8709,406,candidate_access_gap,county_centroid_beyond_threshold
27035,Crow Wing County,MN,46.4917,-94.0707,68.2,66558,998,candidate_access_gap,county_centroid_beyond_threshold
41035,Klamath County,OR,42.6838,-121.6462,68.2,69506,5950,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
31119,Madison County,NE,41.9099,-97.6069,67.7,35538,573,candidate_access_gap,county_centroid_beyond_threshold
04027,Yuma County,AZ,32.7739,-113.9109,67.7,204374,5514,centroid_artifact_risk,large_county_internal_point_may_overstate_access_gap
28005,Amite County,MS,31.2039,-90.7955,67.6,12683,730,candidate_access_gap,county_centroid_beyond_threshold
05097,Montgomery County,AR,34.5457,-93.6642,67.6,8555,780,candidate_access_gap,county_centroid_beyond_threshold
40093,Major County,OK,36.3131,-98.5420,67.6,7678,955,candidate_access_gap,county_centroid_beyond_threshold
30075,Powder River County,MT,45.4089,-105.5553,67.4,1773,3298,candidate_access_gap,county_centroid_beyond_threshold
21099,Hart County,KY,37.3058,-85.8784,67.4,19345,413,candidate_access_gap,county_centroid_beyond_threshold
20019,Chautauqua County,KS,37.1543,-96.2454,67.4,3389,639,candidate_access_gap,county_centroid_beyond_threshold
29105,Laclede County,MO,37.6597,-92.5948,67.3,36060,765,candidate_access_gap,county_centroid_beyond_threshold
05103,Ouachita County,AR,33.5912,-92.8784,67.3,22606,733,candidate_access_gap,county_centroid_beyond_threshold
45043,Georgetown County,SC,33.4175,-79.2963,67.2,63594,814,candidate_access_gap,county_centroid_beyond_threshold
47071,Hardin County,TN,35.2019,-88.1857,67.1,26824,577,candidate_access_gap,county_centroid_beyond_threshold
16007,Bear Lake County,ID,42.2859,-111.3275,67.1,6436,976,candidate_access_gap,county_centroid_beyond_threshold
05043,Drew County,AR,33.5872,-91.7228,67.1,17309,829,candidate_access_gap,county_centroid_beyond_threshold
30037,Golden Valley County,MT,46.3806,-109.1746,67.1,841,1174,candidate_access_gap,county_centroid_beyond_threshold
55041,Forest County,WI,45.6669,-88.7733,67.0,9239,1014,candidate_access_gap,county_centroid_beyond_threshold
19147,Palo Alto County,IA,43.0753,-94.6691,66.8,8938,564,candidate_access_gap,county_centroid_beyond_threshold
